iter	RMSE
0	14.86622715
1	11.76512063
2	10.02719506
3	9.141737646
4	8.69629332
5	8.437683547
6	8.274407675
7	8.15931595
8	8.076356152
9	7.991387684
10	7.933817247
11	7.879996117
12	7.809371707
13	7.774011751
14	7.726160741
15	7.698691429
16	7.627426347
17	7.578104242
18	7.531308944
19	7.510347043
20	7.475415415
21	7.420803932
22	7.392376325
23	7.365858269
24	7.341213136
25	7.32987198
26	7.293393679
27	7.280669403
28	7.252130674
29	7.2220113
30	7.166744255
31	7.131087578
32	7.075550315
33	7.027928351
34	6.989372733
35	6.957102049
36	6.90776704
37	6.869306212
38	6.83188291
39	6.802804549
40	6.772490923
41	6.7362284
42	6.680230541
43	6.660583445
44	6.637843859
45	6.608878303
46	6.568001311
47	6.542987534
48	6.513456589
49	6.481683436
50	6.45278764
51	6.43550889
52	6.414736708
53	6.396242398
54	6.369127267
55	6.343649833
56	6.311359276
57	6.285253558
58	6.262124536
59	6.244251737
60	6.22146771
61	6.200950023
62	6.178847883
63	6.16738714
64	6.143231788
65	6.116774189
66	6.082556723
67	6.047244667
68	6.033721311
69	6.023167084
70	6.001579186
71	5.979769402
72	5.9625982
73	5.933799501
74	5.917986115
75	5.898404393
76	5.875204625
77	5.857962181
78	5.844333783
79	5.826184429
80	5.811152259
81	5.796574729
82	5.789452033
83	5.776952281
84	5.755902823
85	5.732442608
86	5.726736555
87	5.704352172
88	5.69009756
89	5.675447727
90	5.65308104
91	5.636691723
92	5.626041848
93	5.616411541
94	5.602791573
95	5.580197921
96	5.559159344
97	5.548156321
98	5.528464178
99	5.513582859
