iter	Passed	Remaining
0	4	424
1	10	510
2	15	506
3	20	496
4	26	508
5	32	512
6	38	506
7	43	503
8	51	520
9	57	514
10	61	496
11	65	478
12	68	455
13	72	447
14	75	430
15	79	414
16	81	399
17	84	385
18	87	372
19	90	361
20	93	350
21	96	340
22	98	331
23	101	321
24	104	313
25	107	305
26	109	297
27	112	289
28	115	282
29	119	277
30	121	271
31	124	264
32	127	258
33	130	253
34	133	247
35	136	241
36	139	236
37	141	231
38	144	226
39	147	221
40	150	216
41	153	211
42	157	208
43	162	206
44	167	204
45	172	202
46	177	200
47	183	198
48	188	195
49	192	192
50	197	190
51	202	187
52	208	184
53	213	181
54	218	178
55	222	175
56	227	171
57	232	168
58	239	166
59	244	162
60	249	159
61	252	154
62	255	150
63	258	145
64	261	140
65	264	136
66	267	131
67	270	127
68	273	122
69	275	118
70	278	113
71	281	109
72	284	105
73	287	100
74	291	97
75	295	93
76	301	89
77	303	85
78	307	81
79	312	78
80	317	74
81	320	70
82	325	66
83	331	63
84	334	59
85	337	54
86	344	51
87	351	47
88	357	44
89	363	40
90	368	36
91	373	32
92	379	28
93	385	24
94	390	20
95	396	16
96	402	12
97	408	8
98	415	4
99	422	0
