,ProviderId1,WindSpeed1,WindDirection1,Temperature1,Pressure1,Humidity1,PowerWOAvailability1,ProviderId2,WindSpeed2,WindDirection2,Temperature2,Pressure2,Humidity2,PowerWOAvailability2,ProviderId3,WindSpeed3,WindDirection3,Temperature3,Pressure3,Humidity3,PowerWOAvailability3,PowerMWh
2020-01-01 00:00:00,1.0,2.0,317.0,5.3,100944.0,80.57,1.398,2.0,-0.09407194845495503,260.89780932584677,3.877597957807332,101133.54569470772,0.9737106542710026,0.354,3.0,1.0,309.0,6.0,97988.93497153702,0.8772905267269264,3.028,3.3639999999999994
2020-01-01 01:00:00,1.0,1.9,284.0,5.1,100920.0,79.7,1.992,2.0,0.02074745860664784,226.78583459137008,3.7721594183672877,101140.49598993888,0.9725384475509509,0.357,3.0,1.0,236.0,6.0,97993.87046856442,0.8724509101119069,6.303,1.606
2020-01-01 02:00:00,1.0,2.0,270.0,4.8,100895.0,78.84,2.285,2.0,0.20902082271882527,226.18548103678245,2.9480957960284044,101125.78606186871,0.9723528034249226,0.418,3.0,2.0,233.0,5.0,97973.42108261268,0.8713444395933916,7.476,2.808
2020-01-01 03:00:00,1.0,2.2,273.0,4.6,100875.0,77.98,5.529,2.0,0.21726991238926807,234.10520390172292,2.9600975333022106,101118.34984009118,0.9677496264782346,0.746,3.0,2.0,256.0,5.0,97966.06870174814,0.857902180267577,6.59,2.543
2020-01-01 04:00:00,1.0,2.2,282.0,4.4,100857.0,75.21,5.284,2.0,0.22293089080326745,237.97574759670647,2.875791215863522,101108.13940881877,0.9595690369802516,1.348,3.0,2.0,270.0,5.0,97955.08252617384,0.8332378086340082,6.837,0.093
2020-01-01 05:00:00,1.0,2.2,276.0,4.2,100808.0,72.44,5.097,2.0,0.32048035327831137,239.75686476287592,2.83434275285169,101076.22517706695,0.951480620262566,2.702,3.0,2.0,276.0,5.0,97927.0843383224,0.8090358636376558,5.948,0.0
2020-01-01 06:00:00,1.0,2.4,284.0,4.0,100753.0,69.67,8.811,2.0,0.6257300504180403,246.32222328363855,3.5459155191624845,101055.38745818373,0.938099416701908,7.236,3.0,2.0,283.0,6.0,97918.64162774476,0.7706322323698749,4.704,0.036
2020-01-01 07:00:00,1.0,3.1,301.0,3.9,100739.0,70.86,7.435,2.0,1.0943572815826297,258.5201128500173,3.4722576111564294,101008.34337458159,0.9398964697140352,9.66,3.0,3.0,306.0,6.0,97874.37850123302,0.7760159947214271,4.437,4.215
2020-01-01 08:00:00,1.0,4.1,323.0,3.8,100736.0,72.05,10.561,2.0,1.6295794509828578,270.3005381549913,3.432999043667756,100987.4501253246,0.9392698546909782,12.692,3.0,4.0,334.0,6.0,97851.25209725124,0.7730900342417955,4.551,5.461
2020-01-01 09:00:00,1.0,4.2,335.0,4.0,100775.0,73.24,11.615,2.0,1.7142091501021337,281.10743865300856,3.46438900260204,101013.07462282586,0.9419090060513323,12.251,3.0,5.0,352.0,6.0,97876.44994025877,0.7824969648390034,5.705,6.256057984738941
2020-01-01 10:00:00,1.0,4.1,350.0,4.3,100807.0,77.14,13.747,2.0,2.3738717549798576,199.66076140855648,3.3713263362865646,101137.6186087814,0.9547539570419282,12.48,3.0,5.0,4.0,6.0,97999.39200318206,0.8082964682909721,11.048,10.9568
2020-01-01 11:00:00,1.0,5.4,8.0,5.0,100836.0,81.05,24.529,2.0,3.175614963738438,85.00937749389277,3.997175575426759,101156.21649331637,0.9698952239346669,18.808,3.0,5.0,10.0,6.0,98018.04525606395,0.8585822944915962,17.299,34.110933333333335
2020-01-01 12:00:00,1.0,6.6,10.0,5.2,100868.0,84.95,34.537,2.0,3.9009896173181584,70.26892436978005,4.125956314978275,101198.34171099785,0.9747875861842512,30.412,3.0,4.0,8.0,6.0,98048.09335676514,0.8685317121046698,19.87,37.89866666666667
2020-01-01 13:00:00,1.0,7.0,10.0,5.4,100867.0,82.51,31.113,2.0,4.69506542702352,50.6384985800446,3.902633337887373,101196.89780624886,0.9679101143459643,41.595,3.0,4.0,7.0,6.0,98035.19240144048,0.8449337027207227,23.475,26.05653333333333
2020-01-01 14:00:00,1.0,8.0,17.0,5.7,100854.0,80.07,40.55,2.0,5.639397069971961,62.62984346768326,4.064403241994334,101195.36763436576,0.9568613607062267,48.675,3.0,7.0,20.0,6.0,98045.42637875461,0.8129381614626205,31.256,46.71253333333333
2020-01-01 15:00:00,1.0,8.5,22.0,5.9,100835.0,77.63,44.378,2.0,6.059792588643445,50.02222682258616,4.73595699666938,101169.97839917448,0.9467201026668915,51.074,3.0,9.0,26.0,7.0,98027.03134526049,0.7856963558157637,41.858,49.456
2020-01-01 16:00:00,1.0,9.1,23.0,5.9,100859.0,74.71,47.89,2.0,6.319611620701648,34.40928392751675,4.678605463474234,101183.68968834924,0.9380285943653434,52.289,3.0,10.0,24.0,7.0,98034.97296462918,0.7583339736811703,50.174,54.457975580937365
2020-01-01 17:00:00,1.0,10.0,23.0,5.8,100927.0,71.8,53.276,2.0,6.740805765699944,25.4650289588576,4.61687350096755,101253.9792804426,0.9269905645016757,53.363,3.0,11.0,21.0,7.0,98095.48588580424,0.722579435552765,53.197,54.44228571428571
2020-01-01 18:00:00,1.0,11.6,22.0,5.9,100992.0,68.89,54.72,2.0,7.422922108501522,12.961190627111591,4.573670844963992,101284.21186828248,0.9167797027719203,53.597,3.0,12.0,19.0,7.0,98115.14383007702,0.6857464352502052,53.763,54.374857142857145
2020-01-01 19:00:00,1.0,11.6,20.0,5.8,101064.0,69.78,54.731,2.0,7.403932950936349,12.727187393118129,3.7929198594661884,101347.90652431121,0.921838073672906,53.655,3.0,12.0,19.0,6.0,98164.29773328616,0.6988936936541918,53.898,54.475428571428566
2020-01-01 20:00:00,1.0,11.9,20.0,5.7,101128.0,70.67,54.804,2.0,7.486874786587334,8.693527680058196,3.7275537112913284,101392.1610767701,0.9238825313944806,53.691,3.0,12.0,19.0,6.0,98201.76468445786,0.7042457485793299,54.063,54.460758288197134
2020-01-01 21:00:00,1.0,12.4,20.0,5.5,101165.0,71.56,54.913,2.0,7.636114426926197,3.056272984077623,3.641138385989244,101407.70886024923,0.9255057533092944,53.741,3.0,12.0,19.0,6.0,98211.10122614699,0.7078008788518697,54.174,54.46857142857142
2020-01-01 22:00:00,1.0,12.4,20.0,5.5,101178.0,73.92,54.9,2.0,7.620267719225323,3.3614133563019095,3.6380197732874464,101411.19136496725,0.9319476522739681,53.679,3.0,12.0,20.0,6.0,98213.37978759338,0.7278968395302399,54.168,54.42857142857142
2020-01-01 23:00:00,1.0,12.5,20.0,5.4,101187.0,76.28,54.912,2.0,7.474559503728868,-1.6521494047146916,2.915106917448945,101409.95270250582,0.9410693391380821,53.862,3.0,11.0,21.0,5.0,98198.49432363492,0.751825896367551,54.073,54.46742857142857
2020-01-02 00:00:00,1.0,11.9,13.0,4.9,101226.0,71.05,54.536,2.0,7.272926657735082,0.749229844250749,2.751380135164048,101476.10603641797,0.9271660998237049,53.316,3.0,11.0,19.0,5.0,98264.47502706619,0.7120866661705731,53.895,54.462857142857146
2020-01-02 01:00:00,1.0,11.9,12.0,4.8,101226.0,73.45,54.694,2.0,7.2585970372542175,2.6079954151732636,2.008441709411734,101473.89618245169,0.9360818252979731,53.434,3.0,11.0,20.0,4.0,98252.84306780793,0.7374065207689595,53.791,54.47885714285714
2020-01-02 02:00:00,1.0,11.8,10.0,4.7,101218.0,75.85,54.805,2.0,7.222467474947363,4.006182548161632,1.9897449097644753,101463.38553935954,0.9425021677978979,53.523,3.0,11.0,21.0,4.0,98243.05217028661,0.7581866019309769,53.615,54.48
2020-01-02 03:00:00,1.0,11.8,19.0,4.6,101215.0,78.24,54.838,2.0,7.179397239279636,7.511947153788242,1.961200361954134,101452.13019512907,0.9486663561838317,53.184,3.0,11.0,23.0,4.0,98231.46784418973,0.7775282255924587,53.607,54.45257142857143
2020-01-02 04:00:00,1.0,11.8,23.0,4.7,101199.0,77.37,54.974,2.0,6.962680388540262,2.9762658093468417,2.0286581435163313,101436.77792903993,0.9467124161175117,52.373,3.0,10.0,26.0,4.0,98213.88668712151,0.7695774449937427,53.6,53.39885714285714
2020-01-02 05:00:00,1.0,11.0,22.0,4.7,101151.0,76.49,54.718,2.0,6.62036247104801,13.309448362678722,2.0892927133594767,101416.62379465466,0.945383711935668,50.626,3.0,10.0,28.0,4.0,98202.8474371311,0.7686763116512378,52.941,54.32
2020-01-02 06:00:00,1.0,10.6,31.0,4.7,101100.0,75.62,54.683,2.0,6.559241937331448,18.91501005952159,2.790626523001599,101390.31956152762,0.9399515947978673,51.231,3.0,10.0,31.0,5.0,98188.20775446619,0.7559530915470973,51.926,47.858285714285714
2020-01-02 07:00:00,1.0,10.4,28.0,4.7,101083.0,78.64,54.576,2.0,6.537006845530341,22.76948173585106,2.82798778716829,101368.77047012595,0.9485401312999485,52.246,3.0,10.0,31.0,5.0,98171.51241426192,0.7838045900570765,52.039,52.37257142857143
2020-01-02 08:00:00,1.0,11.1,28.0,4.8,101073.0,81.66,54.478,2.0,6.934201947473509,20.359867700361974,2.8126783408229343,101332.69697202306,0.9558953525662642,52.608,3.0,11.0,30.0,5.0,98134.73290735525,0.8053007952870641,52.704,52.408
2020-01-02 09:00:00,1.0,11.9,34.0,4.9,101103.0,84.67,54.63,2.0,7.165490785477514,15.894584738019603,2.8298980745538174,101327.32999580956,0.963176852530634,52.343,3.0,11.0,30.0,5.0,98123.5401944271,0.8244068810803711,52.106,52.89828571428572
2020-01-02 10:00:00,1.0,11.4,36.0,5.2,101117.0,83.94,54.337,2.0,6.800908708141561,16.247953813549884,3.6914818474868056,101344.90920498101,0.9600885447831992,51.305,3.0,10.0,31.0,6.0,98151.1446906684,0.8171237788157217,51.448,54.15885714285714
2020-01-02 11:00:00,1.0,11.7,35.0,5.6,101120.0,83.2,53.793,2.0,6.956075782713681,14.051326490910014,3.80041204086276,101341.1216067707,0.9583714047553472,51.749,3.0,10.0,30.0,6.0,98147.13456858523,0.8094826644614184,50.683,53.74057142857144
2020-01-02 12:00:00,1.0,10.7,38.0,5.9,101126.0,82.47,52.451,2.0,6.7880150530069,30.71757074644347,3.863798362239713,101373.087253279,0.958042393114728,50.99,3.0,11.0,28.0,6.0,98188.75294656023,0.8129008009102234,50.317,53.856
2020-01-02 13:00:00,1.0,11.1,38.0,6.2,101106.0,80.87,51.884,2.0,6.881422136178399,22.703705208808515,3.9162580326408047,101346.83569871841,0.9539574487787453,50.088,3.0,11.0,29.0,6.0,98159.29914694405,0.7976462029189881,50.93,49.31875136260034
2020-01-02 14:00:00,1.0,11.2,39.0,6.5,101078.0,79.28,53.2,2.0,7.154823060361862,27.218869008455385,4.720221320620389,101330.04497144035,0.9463379423667432,51.469,3.0,12.0,30.0,7.0,98157.18262277466,0.7774381022102488,51.54,50.512
2020-01-02 15:00:00,1.0,11.7,39.0,6.6,101045.0,77.69,53.725,2.0,7.345246250136354,22.350957782434307,4.770769287100471,101290.58655941018,0.9415913962340862,52.318,3.0,12.0,31.0,7.0,98118.91047414018,0.7607103758142828,52.558,53.699200000000005
2020-01-02 16:00:00,1.0,12.2,38.0,6.5,101049.0,78.36,54.538,2.0,7.439682157955714,17.183137248793628,4.028059137936786,101283.31623101093,0.945323122259902,51.726,3.0,12.0,30.0,6.0,98099.00962397801,0.7678598505543546,53.266,54.4032
2020-01-02 17:00:00,1.0,12.4,40.0,6.3,101097.0,79.03,54.64,2.0,7.631671772086717,21.867445626234712,3.919073934938673,101320.98865295484,0.946257605052217,51.213,3.0,13.0,30.0,6.0,98134.69659129491,0.7719407699876242,52.973,54.29226666666666
2020-01-02 18:00:00,1.0,12.1,40.0,6.2,101152.0,79.69,54.407,2.0,7.317568425741426,19.885725558463037,3.906854547774863,101368.90421213518,0.9487934291946069,50.551,3.0,12.0,34.0,6.0,98177.32963969688,0.7797105295642783,52.647,54.467200000000005
2020-01-02 19:00:00,1.0,11.8,42.0,6.0,101208.0,78.76,54.369,2.0,7.239240907638743,24.100019027668623,3.821627484174634,101429.45640979602,0.9461858632949697,51.038,3.0,12.0,37.0,6.0,98235.25987195667,0.7732818124585243,52.366,54.3552
2020-01-02 20:00:00,1.0,11.7,43.0,5.8,101255.0,77.82,54.11,2.0,7.0281323230299915,20.974566817375944,3.7689354534050707,101474.45900763285,0.9437044586473181,50.565,3.0,11.0,39.0,6.0,98273.86370587576,0.7647241376342535,51.122,52.60053333333333
2020-01-02 21:00:00,1.0,11.2,46.0,5.7,101269.0,76.88,53.53,2.0,6.854240929354473,23.68277056999932,3.6703966857391706,101511.29998944575,0.9411069799580608,49.64,3.0,11.0,41.0,6.0,98306.3970792377,0.7583877358345972,49.913,41.80053333333333
2020-01-02 22:00:00,1.0,10.7,47.0,5.6,101271.0,75.84,53.251,2.0,6.66643581292419,28.219334860730214,3.62715708257344,101532.2952282629,0.9385776874677995,48.856,3.0,11.0,42.0,6.0,98327.97886973202,0.7525562973706039,49.331,38.10346666666667
2020-01-02 23:00:00,1.0,10.7,47.0,5.4,101277.0,74.81,52.058,2.0,6.494370901110825,18.957133478224478,3.5177899284146505,101542.70546396814,0.9357280630136543,47.765,3.0,10.0,42.0,6.0,98328.90046674291,0.7420592813465285,47.811,27.41653333333333
2020-01-03 00:00:00,1.0,9.9,51.0,5.4,101287.0,75.55,43.781,2.0,6.004622834871396,32.386877708450356,3.487545567239515,101537.46948459622,0.9411697555023707,43.194,3.0,9.0,48.0,6.0,98326.88298298584,0.7594095882863265,40.429,20.919466666666665
2020-01-03 01:00:00,1.0,9.6,50.0,5.2,101273.0,75.69,42.991,2.0,5.684256847997942,35.52425319703843,3.517086614217156,101523.1059488602,0.9423354318698266,41.864,3.0,8.0,50.0,6.0,98315.91409141313,0.7632512815353216,38.714,25.40053333333333
