,Date,Time,Value,,,
,05.06.2021,00:00,"2,318584071",,,
,05.06.2021,01:00,"1,389380531",,,
,05.06.2021,02:00,"0,9911504425",,,
,05.06.2021,03:00,"0,9911504425",,,
,05.06.2021,04:00,"0,8584070796",,,
,05.06.2021,05:00,"0,5044247788",,,
,05.06.2021,06:00,"0,2389380531",,,
,05.06.2021,07:00,"0,1150442478",,,
,05.06.2021,08:00,"0,2920353982",,,
,05.06.2021,09:00,"0,1592920354",,,
,05.06.2021,10:00,"0,1946902655",,,
,05.06.2021,11:00,"0,9026548673",,,
,05.06.2021,12:00,"2,008849558",,,
,05.06.2021,13:00,"2,982300885",,,
,05.06.2021,14:00,"3,601769912",,,
,05.06.2021,15:00,"3,734513274",,,
,05.06.2021,16:00,"3,955752212",,,
,05.06.2021,17:00,"4,044247788",,,
,05.06.2021,18:00,"3,690265487",,,
,05.06.2021,19:00,"3,07079646",,,
,05.06.2021,20:00,"3,07079646",,,
,05.06.2021,21:00,"2,982300885",,,
,05.06.2021,22:00,"2,14159292",,,
,05.06.2021,23:00,"0,9469026549",,,
