,ProviderId1,WindSpeed1,WindDirection1,Temperature1,Pressure1,Humidity1,PowerWOAvailability1,PowerMWh
2020-01-01 00:00:00,1,2.0,317.0,5.3,100944,80.57,1.398,3.3639999999999994
2020-01-01 01:00:00,1,1.9,284.0,5.1,100920,79.7,1.992,1.606
2020-01-01 02:00:00,1,2.0,270.0,4.8,100895,78.84,2.285,2.808
2020-01-01 03:00:00,1,2.2,273.0,4.6,100875,77.98,5.529,2.543
2020-01-01 04:00:00,1,2.2,282.0,4.4,100857,75.21,5.284,0.093
2020-01-01 05:00:00,1,2.2,276.0,4.2,100808,72.44,5.097,0.0
2020-01-01 06:00:00,1,2.4,284.0,4.0,100753,69.67,8.811,0.036
2020-01-01 07:00:00,1,3.1,301.0,3.9,100739,70.86,7.435,4.215
2020-01-01 08:00:00,1,4.1,323.0,3.8,100736,72.05,10.561,5.461
2020-01-01 09:00:00,1,4.2,335.0,4.0,100775,73.24,11.615,6.256057984738941
2020-01-01 10:00:00,1,4.1,350.0,4.3,100807,77.14,13.747,10.9568
2020-01-01 11:00:00,1,5.4,8.0,5.0,100836,81.05,24.529,34.110933333333335
2020-01-01 12:00:00,1,6.6,10.0,5.2,100868,84.95,34.537,37.89866666666667
2020-01-01 13:00:00,1,7.0,10.0,5.4,100867,82.51,31.113,26.05653333333333
2020-01-01 14:00:00,1,8.0,17.0,5.7,100854,80.07,40.55,46.71253333333333
2020-01-01 15:00:00,1,8.5,22.0,5.9,100835,77.63,44.378,49.456
2020-01-01 16:00:00,1,9.1,23.0,5.9,100859,74.71,47.89,54.457975580937365
2020-01-01 17:00:00,1,10.0,23.0,5.8,100927,71.8,53.276,54.44228571428571
2020-01-01 18:00:00,1,11.6,22.0,5.9,100992,68.89,54.72,54.374857142857145
2020-01-01 19:00:00,1,11.6,20.0,5.8,101064,69.78,54.731,54.475428571428566
2020-01-01 20:00:00,1,11.9,20.0,5.7,101128,70.67,54.804,54.460758288197134
2020-01-01 21:00:00,1,12.4,20.0,5.5,101165,71.56,54.913,54.46857142857142
2020-01-01 22:00:00,1,12.4,20.0,5.5,101178,73.92,54.9,54.42857142857142
2020-01-01 23:00:00,1,12.5,20.0,5.4,101187,76.28,54.912,54.46742857142857
2020-01-02 00:00:00,1,11.9,13.0,4.9,101226,71.05,54.536,54.462857142857146
2020-01-02 01:00:00,1,11.9,12.0,4.8,101226,73.45,54.694,54.47885714285714
2020-01-02 02:00:00,1,11.8,10.0,4.7,101218,75.85,54.805,54.48
2020-01-02 03:00:00,1,11.8,19.0,4.6,101215,78.24,54.838,54.45257142857143
2020-01-02 04:00:00,1,11.8,23.0,4.7,101199,77.37,54.974,53.39885714285714
2020-01-02 05:00:00,1,11.0,22.0,4.7,101151,76.49,54.718,54.32
2020-01-02 06:00:00,1,10.6,31.0,4.7,101100,75.62,54.683,47.858285714285714
2020-01-02 07:00:00,1,10.4,28.0,4.7,101083,78.64,54.576,52.37257142857143
2020-01-02 08:00:00,1,11.1,28.0,4.8,101073,81.66,54.478,52.408
2020-01-02 09:00:00,1,11.9,34.0,4.9,101103,84.67,54.63,52.89828571428572
2020-01-02 10:00:00,1,11.4,36.0,5.2,101117,83.94,54.337,54.15885714285714
2020-01-02 11:00:00,1,11.7,35.0,5.6,101120,83.2,53.793,53.74057142857144
2020-01-02 12:00:00,1,10.7,38.0,5.9,101126,82.47,52.451,53.856
2020-01-02 13:00:00,1,11.1,38.0,6.2,101106,80.87,51.884,49.31875136260034
2020-01-02 14:00:00,1,11.2,39.0,6.5,101078,79.28,53.2,50.512
2020-01-02 15:00:00,1,11.7,39.0,6.6,101045,77.69,53.725,53.699200000000005
2020-01-02 16:00:00,1,12.2,38.0,6.5,101049,78.36,54.538,54.4032
2020-01-02 17:00:00,1,12.4,40.0,6.3,101097,79.03,54.64,54.29226666666666
2020-01-02 18:00:00,1,12.1,40.0,6.2,101152,79.69,54.407,54.467200000000005
2020-01-02 19:00:00,1,11.8,42.0,6.0,101208,78.76,54.369,54.3552
2020-01-02 20:00:00,1,11.7,43.0,5.8,101255,77.82,54.11,52.60053333333333
2020-01-02 21:00:00,1,11.2,46.0,5.7,101269,76.88,53.53,41.80053333333333
2020-01-02 22:00:00,1,10.7,47.0,5.6,101271,75.84,53.251,38.10346666666667
2020-01-02 23:00:00,1,10.7,47.0,5.4,101277,74.81,52.058,27.41653333333333
2020-01-03 00:00:00,1,9.9,51.0,5.4,101287,75.55,43.781,20.919466666666665
2020-01-03 01:00:00,1,9.6,50.0,5.2,101273,75.69,42.991,25.40053333333333
2020-01-03 02:00:00,1,9.2,51.0,5.0,101253,75.84,42.293,32.93013333333333
2020-01-03 03:00:00,1,8.7,51.0,4.8,101232,75.98,43.594,36.843733333333326
2020-01-03 04:00:00,1,8.7,50.0,4.7,101196,75.88,43.122,41.54453333333333
2020-01-03 05:00:00,1,8.6,51.0,4.6,101129,75.77,45.59,48.46293333333333
2020-01-03 06:00:00,1,8.5,51.0,4.5,101054,75.66,46.917,34.9216
2020-01-03 07:00:00,1,8.5,51.0,4.4,101015,75.17,48.812,35.3216
2020-01-03 08:00:00,1,8.1,53.0,4.4,100978,74.68,44.628,46.42666666666667
2020-01-03 09:00:00,1,7.8,54.0,4.3,100983,74.19,43.346,18.733866666666664
2020-01-03 10:00:00,1,7.6,52.0,4.9,100970,72.8,41.974,15.722666666666669
2020-01-03 11:00:00,1,7.4,49.0,5.7,100950,71.41,42.606,12.906666666666666
2020-01-03 12:00:00,1,7.4,47.0,6.3,100931,70.01,42.541,36.34843498144468
2020-01-03 13:00:00,1,7.4,44.0,6.7,100881,69.29,44.559,34.589866666666666
2020-01-03 14:00:00,1,7.6,41.0,6.9,100818,68.56,47.003,44.4576
2020-01-03 15:00:00,1,8.0,37.0,7.1,100753,67.83,47.312,51.236266666666666
