Time,ProviderId1,WindSpeed1,WindDirection1,Temperature1,Pressure1,Humidity1,PowerWOAvailability1,ProviderId2,WindSpeed2,WindDirection2,Temperature2,Pressure2,Humidity2,PowerWOAvailability2,ProviderId3,WindSpeed3,WindDirection3,Temperature3,Pressure3,Humidity3,PowerWOAvailability3
2020-01-01 00:00:00,1,2.0,317.0,5.3,100944,80.57,1.398,2,,,,,,0.354,3,1.0,309.0,6.0,,,3.028
2020-01-01 01:00:00,1,1.9,284.0,5.1,100920,79.7,1.992,2,,,,,,0.357,3,1.0,236.0,6.0,,,6.303
2020-01-01 02:00:00,1,2.0,270.0,4.8,100895,78.84,2.285,2,,,,,,0.418,3,2.0,233.0,5.0,,,7.476
2020-01-01 03:00:00,1,2.2,273.0,4.6,100875,77.98,5.529,2,,,,,,0.746,3,2.0,256.0,5.0,,,6.59
2020-01-01 04:00:00,1,2.2,282.0,4.4,100857,75.21,5.284,2,,,,,,1.348,3,2.0,270.0,5.0,,,6.837
2020-01-01 05:00:00,1,2.2,276.0,4.2,100808,72.44,5.097,2,,,,,,2.702,3,2.0,276.0,5.0,,,5.948
2020-01-01 06:00:00,1,2.4,284.0,4.0,100753,69.67,8.811,2,,,,,,7.236,3,2.0,283.0,6.0,,,4.704
2020-01-01 07:00:00,1,3.1,301.0,3.9,100739,70.86,7.435,2,,,,,,9.66,3,3.0,306.0,6.0,,,4.437
2020-01-01 08:00:00,1,4.1,323.0,3.8,100736,72.05,10.561,2,,,,,,12.692,3,4.0,334.0,6.0,,,4.551
2020-01-01 09:00:00,1,4.2,335.0,4.0,100775,73.24,11.615,2,,,,,,12.251,3,5.0,352.0,6.0,,,5.705
2020-01-01 10:00:00,1,4.1,350.0,4.3,100807,77.14,13.747,2,,,,,,12.48,3,5.0,4.0,6.0,,,11.048
2020-01-01 11:00:00,1,5.4,8.0,5.0,100836,81.05,24.529,2,,,,,,18.808,3,5.0,10.0,6.0,,,17.299
2020-01-01 12:00:00,1,6.6,10.0,5.2,100868,84.95,34.537,2,,,,,,30.412,3,4.0,8.0,6.0,,,19.87
2020-01-01 13:00:00,1,7.0,10.0,5.4,100867,82.51,31.113,2,,,,,,41.595,3,4.0,7.0,6.0,,,23.475
2020-01-01 14:00:00,1,8.0,17.0,5.7,100854,80.07,40.55,2,,,,,,48.675,3,7.0,20.0,6.0,,,31.256
2020-01-01 15:00:00,1,8.5,22.0,5.9,100835,77.63,44.378,2,,,,,,51.074,3,9.0,26.0,7.0,,,41.858
2020-01-01 16:00:00,1,9.1,23.0,5.9,100859,74.71,47.89,2,,,,,,52.289,3,10.0,24.0,7.0,,,50.174
2020-01-01 17:00:00,1,10.0,23.0,5.8,100927,71.8,53.276,2,,,,,,53.363,3,11.0,21.0,7.0,,,53.197
2020-01-01 18:00:00,1,11.6,22.0,5.9,100992,68.89,54.72,2,,,,,,53.597,3,12.0,19.0,7.0,,,53.763
2020-01-01 19:00:00,1,11.6,20.0,5.8,101064,69.78,54.731,2,,,,,,53.655,3,12.0,19.0,6.0,,,53.898
2020-01-01 20:00:00,1,11.9,20.0,5.7,101128,70.67,54.804,2,,,,,,53.691,3,12.0,19.0,6.0,,,54.063
2020-01-01 21:00:00,1,12.4,20.0,5.5,101165,71.56,54.913,2,,,,,,53.741,3,12.0,19.0,6.0,,,54.174
2020-01-01 22:00:00,1,12.4,20.0,5.5,101178,73.92,54.9,2,,,,,,53.679,3,12.0,20.0,6.0,,,54.168
2020-01-01 23:00:00,1,12.5,20.0,5.4,101187,76.28,54.912,2,,,,,,53.862,3,11.0,21.0,5.0,,,54.073
2020-01-02 00:00:00,1,11.9,13.0,4.9,101226,71.05,54.536,2,,,,,,53.316,3,11.0,19.0,5.0,,,53.895
2020-01-02 01:00:00,1,11.9,12.0,4.8,101226,73.45,54.694,2,,,,,,53.434,3,11.0,20.0,4.0,,,53.791
2020-01-02 02:00:00,1,11.8,10.0,4.7,101218,75.85,54.805,2,,,,,,53.523,3,11.0,21.0,4.0,,,53.615
2020-01-02 03:00:00,1,11.8,19.0,4.6,101215,78.24,54.838,2,,,,,,53.184,3,11.0,23.0,4.0,,,53.607
2020-01-02 04:00:00,1,11.8,23.0,4.7,101199,77.37,54.974,2,,,,,,52.373,3,10.0,26.0,4.0,,,53.6
2020-01-02 05:00:00,1,11.0,22.0,4.7,101151,76.49,54.718,2,,,,,,50.626,3,10.0,28.0,4.0,,,52.941
2020-01-02 06:00:00,1,10.6,31.0,4.7,101100,75.62,54.683,2,,,,,,51.231,3,10.0,31.0,5.0,,,51.926
2020-01-02 07:00:00,1,10.4,28.0,4.7,101083,78.64,54.576,2,,,,,,52.246,3,10.0,31.0,5.0,,,52.039
2020-01-02 08:00:00,1,11.1,28.0,4.8,101073,81.66,54.478,2,,,,,,52.608,3,11.0,30.0,5.0,,,52.704
2020-01-02 09:00:00,1,11.9,34.0,4.9,101103,84.67,54.63,2,,,,,,52.343,3,11.0,30.0,5.0,,,52.106
2020-01-02 10:00:00,1,11.4,36.0,5.2,101117,83.94,54.337,2,,,,,,51.305,3,10.0,31.0,6.0,,,51.448
2020-01-02 11:00:00,1,11.7,35.0,5.6,101120,83.2,53.793,2,,,,,,51.749,3,10.0,30.0,6.0,,,50.683
2020-01-02 12:00:00,1,10.7,38.0,5.9,101126,82.47,52.451,2,,,,,,50.99,3,11.0,28.0,6.0,,,50.317
2020-01-02 13:00:00,1,11.1,38.0,6.2,101106,80.87,51.884,2,,,,,,50.088,3,11.0,29.0,6.0,,,50.93
2020-01-02 14:00:00,1,11.2,39.0,6.5,101078,79.28,53.2,2,,,,,,51.469,3,12.0,30.0,7.0,,,51.54
2020-01-02 15:00:00,1,11.7,39.0,6.6,101045,77.69,53.725,2,,,,,,52.318,3,12.0,31.0,7.0,,,52.558
2020-01-02 16:00:00,1,12.2,38.0,6.5,101049,78.36,54.538,2,,,,,,51.726,3,12.0,30.0,6.0,,,53.266
2020-01-02 17:00:00,1,12.4,40.0,6.3,101097,79.03,54.64,2,,,,,,51.213,3,13.0,30.0,6.0,,,52.973
2020-01-02 18:00:00,1,12.1,40.0,6.2,101152,79.69,54.407,2,,,,,,50.551,3,12.0,34.0,6.0,,,52.647
2020-01-02 19:00:00,1,11.8,42.0,6.0,101208,78.76,54.369,2,,,,,,51.038,3,12.0,37.0,6.0,,,52.366
2020-01-02 20:00:00,1,11.7,43.0,5.8,101255,77.82,54.11,2,,,,,,50.565,3,11.0,39.0,6.0,,,51.122
2020-01-02 21:00:00,1,11.2,46.0,5.7,101269,76.88,53.53,2,,,,,,49.64,3,11.0,41.0,6.0,,,49.913
2020-01-02 22:00:00,1,10.7,47.0,5.6,101271,75.84,53.251,2,,,,,,48.856,3,11.0,42.0,6.0,,,49.331
2020-01-02 23:00:00,1,10.7,47.0,5.4,101277,74.81,52.058,2,,,,,,47.765,3,10.0,42.0,6.0,,,47.811
2020-01-03 00:00:00,1,9.9,51.0,5.4,101287,75.55,43.781,2,,,,,,43.194,3,9.0,48.0,6.0,,,40.429
2020-01-03 01:00:00,1,9.6,50.0,5.2,101273,75.69,42.991,2,,,,,,41.864,3,8.0,50.0,6.0,,,38.714
2020-01-03 02:00:00,1,9.2,51.0,5.0,101253,75.84,42.293,2,,,,,,40.609,3,8.0,51.0,6.0,,,36.189
2020-01-03 03:00:00,1,8.7,51.0,4.8,101232,75.98,43.594,2,,,,,,39.546,3,8.0,52.0,6.0,,,33.343
2020-01-03 04:00:00,1,8.7,50.0,4.7,101196,75.88,43.122,2,,,,,,38.631,3,8.0,52.0,5.0,,,31.24
2020-01-03 05:00:00,1,8.6,51.0,4.6,101129,75.77,45.59,2,,,,,,37.236,3,8.0,52.0,5.0,,,30.683
2020-01-03 06:00:00,1,8.5,51.0,4.5,101054,75.66,46.917,2,,,,,,36.028,3,7.0,52.0,5.0,,,30.154
2020-01-03 07:00:00,1,8.5,51.0,4.4,101015,75.17,48.812,2,,,,,,34.95,3,7.0,51.0,5.0,,,26.952
2020-01-03 08:00:00,1,8.1,53.0,4.4,100978,74.68,44.628,2,,,,,,33.608,3,7.0,49.0,5.0,,,22.764
2020-01-03 09:00:00,1,7.8,54.0,4.3,100983,74.19,43.346,2,,,,,,33.493,3,7.0,48.0,6.0,,,19.411
2020-01-03 10:00:00,1,7.6,52.0,4.9,100970,72.8,41.974,2,,,,,,35.148,3,8.0,47.0,7.0,,,19.234
2020-01-03 11:00:00,1,7.4,49.0,5.7,100950,71.41,42.606,2,,,,,,36.201,3,8.0,46.0,8.0,,,22.386
2020-01-03 12:00:00,1,7.4,47.0,6.3,100931,70.01,42.541,2,,,,,,38.585,3,8.0,44.0,8.0,,,26.375
2020-01-03 13:00:00,1,7.4,44.0,6.7,100881,69.29,44.559,2,,,,,,41.796,3,8.0,41.0,8.0,,,30.777
2020-01-03 14:00:00,1,7.6,41.0,6.9,100818,68.56,47.003,2,,,,,,43.184,3,8.0,39.0,9.0,,,33.744
2020-01-03 15:00:00,1,8.0,37.0,7.1,100753,67.83,47.312,2,,,,,,42.666,3,8.0,37.0,9.0,,,35.325
2020-01-03 16:00:00,1,8.0,35.0,6.9,100722,69.06,46.96,2,,,,,,42.254,3,8.0,37.0,9.0,,,36.051
2020-01-03 17:00:00,1,7.7,36.0,6.6,100732,70.29,43.379,2,,,,,,42.737,3,8.0,38.0,8.0,,,35.504
2020-01-03 18:00:00,1,7.3,37.0,6.2,100742,71.52,39.763,2,,,,,,39.262,3,8.0,38.0,8.0,,,34.75
2020-01-03 19:00:00,1,6.9,38.0,5.9,100762,71.93,40.616,2,,,,,,32.227,3,8.0,39.0,7.0,,,31.874
2020-01-03 20:00:00,1,6.6,39.0,5.8,100784,72.34,38.851,2,,,,,,25.725,3,7.0,43.0,7.0,,,26.533
2020-01-03 21:00:00,1,6.3,41.0,5.4,100773,72.75,34.276,2,,,,,,21.025,3,6.0,46.0,7.0,,,20.521
2020-01-03 22:00:00,1,5.8,40.0,5.3,100754,72.12,26.879,2,,,,,,17.908,3,6.0,46.0,6.0,,,14.108
2020-01-03 23:00:00,1,5.2,40.0,5.0,100733,71.49,18.989,2,,,,,,15.801,3,5.0,43.0,6.0,,,9.465
2020-01-04 00:00:00,1,3.3,33.0,4.8,100772,72.54,4.51,2,,,,,,2.575,3,3.0,10.0,6.0,,,2.907
2020-01-04 01:00:00,1,2.6,22.0,4.6,100750,71.77,4.378,2,,,,,,0.889,3,1.0,356.0,6.0,,,2.354
2020-01-04 02:00:00,1,2.0,6.0,4.5,100722,70.99,2.917,2,,,,,,0.143,3,0.0,270.0,5.0,,,2.788
2020-01-04 03:00:00,1,1.6,340.0,4.3,100695,70.21,2.706,2,,,,,,0.137,3,1.0,235.0,5.0,,,4.203
2020-01-04 04:00:00,1,1.6,313.0,4.1,100651,69.96,5.067,2,,,,,,0.474,3,2.0,243.0,4.0,,,5.195
2020-01-04 05:00:00,1,1.6,283.0,3.8,100573,69.7,4.051,2,,,,,,0.481,3,2.0,245.0,4.0,,,5.436
2020-01-04 06:00:00,1,1.5,269.0,3.6,100495,69.44,4.353,2,,,,,,1.422,3,2.0,235.0,3.0,,,7.619
2020-01-04 07:00:00,1,1.8,254.0,3.4,100446,69.37,3.759,2,,,,,,3.635,3,2.0,235.0,3.0,,,10.118
2020-01-04 08:00:00,1,2.3,229.0,3.1,100409,69.29,3.674,2,,,,,,6.445,3,3.0,235.0,4.0,,,12.345
2020-01-04 09:00:00,1,2.7,225.0,2.9,100412,69.21,4.627,2,,,,,,9.324,3,3.0,230.0,5.0,,,15.021
2020-01-04 10:00:00,1,2.8,228.0,3.7,100408,67.08,6.224,2,,,,,,12.433,3,3.0,224.0,6.0,,,14.614
2020-01-04 11:00:00,1,2.9,231.0,4.8,100401,64.96,6.512,2,,,,,,12.084,3,3.0,224.0,7.0,,,12.349
2020-01-04 12:00:00,1,3.3,235.0,5.9,100390,62.83,7.144,2,,,,,,7.733,3,3.0,228.0,8.0,,,10.507
2020-01-04 13:00:00,1,3.1,241.0,6.5,100357,61.32,5.643,2,,,,,,4.55,3,2.0,235.0,9.0,,,7.556
2020-01-04 14:00:00,1,2.4,255.0,7.2,100317,59.82,6.021,2,,,,,,3.681,3,2.0,233.0,9.0,,,5.271
2020-01-04 15:00:00,1,1.9,260.0,7.8,100275,58.31,3.87,2,,,,,,4.927,3,1.0,228.0,9.0,,,5.258
2020-01-04 16:00:00,1,2.1,239.0,7.6,100264,59.38,3.088,2,,,,,,6.218,3,2.0,210.0,9.0,,,7.145
2020-01-04 17:00:00,1,2.5,227.0,7.2,100292,60.44,3.597,2,,,,,,6.177,3,2.0,201.0,7.0,,,8.606
2020-01-04 18:00:00,1,2.6,224.0,6.7,100319,61.5,2.425,2,,,,,,5.558,3,3.0,204.0,5.0,,,9.13
