iter	RMSE
0	2193.7904
1	2193.7904
2	2193.7904
3	2193.76256
4	2193.76256
5	2193.76256
6	2192.165168
7	2192.165168
8	2187.140598
9	2187.140598
10	2186.536664
11	2185.861167
12	2185.856499
13	2180.379139
14	2180.330327
15	2180.330327
16	2179.390683
17	2174.461651
18	2174.425236
19	2174.405855
20	2173.563057
21	2173.547735
22	2169.086913
23	2165.531883
24	2165.527206
25	2160.087286
26	2160.04298
27	2154.574977
28	2150.136886
29	2150.136885
30	2149.56458
31	2146.537125
32	2145.850401
33	2145.670717
34	2145.481231
35	2145.481194
36	2144.733157
37	2144.580925
38	2144.580924
39	2144.580554
40	2144.580554
41	2140.845126
42	2137.330546
43	2137.330546
44	2136.512003
45	2136.512002
46	2135.318408
47	2135.318407
48	2135.318406
49	2135.318405
50	2131.510394
51	2131.493471
52	2130.99672
53	2130.956108
54	2130.74376
55	2130.653025
56	2130.647126
57	2130.647124
58	2130.603612
59	2130.106318
60	2130.003051
61	2126.155036
62	2126.077546
63	2126.077545
64	2126.077544
65	2126.077543
66	2126.074487
67	2126.074486
68	2126.070805
69	2126.03424
70	2121.900681
71	2121.90068
72	2121.90068
73	2121.900679
74	2118.844536
75	2118.844535
76	2118.844535
77	2118.75818
78	2118.75818
79	2118.758179
80	2118.704532
81	2116.885021
82	2116.88502
83	2116.058068
84	2116.058067
85	2116.051328
86	2116.04734
87	2116.041712
88	2116.040453
89	2116.040453
90	2116.040452
91	2116.040451
92	2116.040451
93	2110.518068
94	2110.518068
95	2105.879534
96	2105.879534
97	2105.879533
98	2105.879533
99	2105.789514
100	2101.124205
101	2101.120898
102	2096.705696
103	2096.703489
104	2096.678702
105	2096.645141
106	2096.645141
107	2095.876117
108	2091.942163
109	2087.109877
110	2081.156692
111	2077.199265
112	2076.485171
113	2076.485171
114	2076.48517
115	2072.1555
116	2072.1555
117	2072.155499
118	2067.848831
119	2067.525035
120	2067.525035
121	2067.523893
122	2063.222722
123	2063.222711
124	2063.22271
125	2059.614866
126	2059.601296
127	2056.239155
128	2055.780771
129	2055.777434
130	2055.777433
131	2050.667313
132	2050.667313
133	2049.221825
134	2049.221825
135	2049.218981
136	2049.216927
137	2047.527492
138	2043.854382
139	2043.838761
140	2043.83876
141	2043.800936
142	2043.793164
143	2043.793163
144	2043.793163
145	2043.793163
146	2043.740946
147	2041.153312
148	2041.088437
149	2037.793416
150	2037.793415
151	2036.372191
152	2033.931461
153	2030.400437
154	2030.400435
155	2030.22173
156	2028.709687
157	2028.709686
158	2028.69689
159	2028.19424
160	2025.092641
161	2025.024579
162	2025.024578
163	2025.024576
164	2021.254784
165	2020.938801
166	2020.9388
167	2019.139689
168	2019.119727
169	2016.008852
170	2016.007848
171	2012.521839
172	2012.521837
173	2012.521834
174	2009.94971
175	2009.925435
176	2009.925433
177	2009.925431
178	2009.92543
179	2009.925428
180	2009.925426
181	2009.901793
182	2009.365461
183	2009.285329
184	2008.814313
185	2006.913211
186	2006.907707
187	2006.614234
