iter	Passed	Remaining
0	10	21670
1	14	14484
2	17	11744
3	27	13562
4	30	12224
5	33	11267
6	43	12391
7	46	11664
8	66	14720
9	70	14009
10	88	16020
11	107	17779
12	113	17419
13	133	18880
14	139	18469
15	143	17750
16	157	18319
17	166	18343
18	172	18014
19	178	17706
20	200	18928
21	210	18949
22	236	20365
23	254	20994
24	264	20865
25	282	21410
26	288	21073
27	305	21525
28	323	21988
29	327	21482
30	345	21945
31	351	21633
32	357	21322
33	376	21770
34	395	22206
35	402	21963
36	422	22415
37	446	23053
38	449	22613
39	455	22336
40	459	21933
41	470	21928
42	479	21802
43	482	21443
44	500	21744
45	504	21414
46	523	21753
47	527	21444
48	530	21119
49	533	20813
50	551	21080
51	557	20894
52	563	20710
53	570	20560
54	579	20483
55	585	20317
56	592	20190
57	596	19958
58	613	20173
59	619	20025
60	628	19975
61	656	20523
62	676	20788
63	680	20585
64	685	20410
65	689	20199
66	695	20072
67	701	19920
68	707	19813
69	719	19832
70	729	19806
71	732	19613
72	735	19420
73	738	19231
74	751	19281
75	754	19101
76	757	18925
77	763	18820
78	767	18660
79	770	18497
80	776	18403
81	788	18444
82	791	18285
83	806	18393
84	809	18243
85	820	18259
86	827	18198
87	834	18139
88	846	18177
89	851	18063
90	855	17944
91	862	17878
92	866	17767
93	891	18075
94	897	17987
95	931	18470
96	936	18363
97	944	18334
98	948	18219
99	967	18385
100	997	18762
101	1006	18734
102	1018	18753
103	1029	18762
104	1041	18790
105	1063	18996
106	1066	18873
107	1109	19443
108	1135	19697
109	1176	20210
110	1193	20308
111	1216	20503
112	1231	20572
113	1236	20453
114	1239	20319
115	1260	20467
116	1263	20336
117	1267	20215
118	1289	20389
119	1316	20621
120	1321	20514
121	1329	20461
122	1360	20758
123	1369	20722
124	1373	20608
125	1389	20659
126	1397	20609
127	1425	20848
128	1465	21257
129	1475	21219
130	1479	21110
131	1507	21333
132	1513	21244
133	1537	21405
134	1541	21291
135	1549	21231
136	1558	21197
137	1589	21452
138	1602	21458
139	1613	21439
140	1619	21357
141	1631	21341
142	1642	21334
143	1648	21247
144	1657	21201
145	1661	21100
146	1681	21193
147	1707	21370
148	1733	21540
149	1761	21726
150	1766	21629
151	1797	21856
152	1823	22015
153	1843	22097
154	1848	22008
155	1869	22094
156	1877	22044
157	1882	21942
158	1893	21926
159	1926	22154
160	1992	22763
161	2030	23042
162	2036	22948
163	2040	22842
164	2059	22900
165	2090	23097
166	2096	23013
167	2123	23152
168	2138	23165
169	2166	23317
170	2175	23266
171	2198	23369
172	2203	23274
173	2207	23166
174	2232	23284
